z,mu,mu_sig,mB,mB_sig
0.05,36.77,0.15,17.79,0.05
0.0529,36.82,0.15,17.61,0.05
0.0251,35.17,0.17,16.74,0.09
0.0701,37.57,0.15,18.38,0.09
0.0627,37.55,0.15,18.18,0.05
0.0876,38.19,0.16,19.4,0.11
0.0786,37.52,0.15,18.28,0.03
0.0172,34.65,0.19,15.75,0.13
0.0422,36.36,0.15,17.29,0.06
0.0453,36.66,0.15,17.59,0.05
0.0196,34.52,0.18,15.07,0.11
0.1009,38.51,0.15,19.3,0.03
0.0273,35.23,0.17,16.24,0.09
0.0746,37.67,0.15,18.39,0.05
0.0265,35.52,0.18,16.03,0.08
0.0499,36.7,0.15,17.73,0.04
0.0306,35.54,0.16,16.2,0.08
0.0163,34.09,0.14,15.03,0.13
0.0154,34.03,0.15,15.22,0.14
0.0305,35.58,0.09,16.18,0.07
0.0245,34.96,0.11,15.51,0.09
0.024,34.94,0.12,15.94,0.09
0.026,35.36,0.11,15.99,0.09
0.0489,36.64,0.18,17.8,0.13
0.0243,35.08,0.19,16.3,0.1
0.0152,34.2,0.23,14.77,0.15
0.0357,36.11,0.19,17.05,0.11
0.0488,36.35,0.17,17.03,0.05
0.022,34.88,0.2,15.87,0.14
0.0275,35.67,0.18,16.65,0.08
0.1244,38.95,0.17,19.53,0.03
0.036,35.83,0.17,16.62,0.07
0.0167,34.16,0.21,15.35,0.14
0.0163,34.11,0.21,15.82,0.13
0.0218,34.9,0.28,15.84,0.11
0.0164,34.18,0.29,15.33,0.13
0.0232,35.12,0.28,16.53,0.1
0.0365,36.11,0.27,17.09,0.07
0.0193,35.16,0.29,16.94,0.11
0.0176,34.39,0.31,15.59,0.17
0.0315,35.73,0.27,16.78,0.07
0.0235,35.19,0.28,16.1,0.1
0.0167,33.89,0.29,14.81,0.13
0.0537,36.46,0.27,17.64,0.06
0.017,34.27,0.29,15.7,0.13
0.0279,35.03,0.27,16.05,0.08
0.0172,34.19,0.29,15.1,0.13
0.03,35.96,0.27,16.83,0.08
0.0166,34.38,0.29,15.31,0.13
0.015,34.1,0.15,14.69,0.15
0.0544,36.97,0.08,17.89,0.06
0.1561,39.29,0.06,19.97,0.03
0.0393,36.31,0.07,16.78,0.06
0.1241,38.81,0.07,19.76,0.05
0.1441,39.05,0.06,20.43,0.04
0.1299,39,0.06,19.6,0.03
0.0784,37.78,0.07,18.39,0.03
0.62,43.21,0.37,23.5,0.09
0.57,42.63,0.33,23.4,0.07
0.3,40.91,0.32,22.03,0.1
0.38,41.98,0.29,22.64,0.05
0.43,42.29,0.35,22.61,0.05
0.24,40.92,0.6,21.6,0.08
0.3,40.15,0.46,21.53,0.38
0.24,40.89,0.28,20.99,0.03
0.44,42.02,0.29,22.8,0.06
0.5,42.43,0.29,23.14,0.05
0.97,43.08,0.74,24.72,0.15
0.479,42.26,0.31,22.72,0.06
0.83,43.49,0.37,24.34,0.09
0.416,42.04,0.44,22.46,0.07
0.581,41.98,0.42,23.16,0.09
0.45,41.8,0.37,22.92,0.05
0.579,43.11,0.56,23.57,0.1
0.32,41.19,0.34,21.89,0.04
0.657,43.08,0.55,23.92,0.12
0.472,42.1,0.47,23.13,0.06
0.374,43.12,0.69,23.32,0.15
0.526,42.01,0.4,23.18,0.06
0.763,44.37,0.89,24.37,0.29
0.58,42.94,0.4,23.41,0.07
0.43,41.89,0.39,23.22,0.05
0.45,42.28,0.42,23.25,0.06
0.828,44.2,0.61,24.55,0.17
0.656,43.18,0.53,23.77,0.11
0.495,42.12,0.4,22.82,0.05
0.49,41.82,0.36,23.07,0.05
0.57,42.74,0.4,23.31,0.06
0.388,42.1,0.37,22.55,0.07
0.45,42.21,0.38,22.61,0.06
0.48,42.13,0.4,23.06,0.06
0.615,42.61,0.52,23.22,0.1
0.4,42.11,0.38,22.18,0.05
0.655,42.33,0.5,23.22,0.11
0.498,43.03,0.45,23.66,0.06
0.465,41.84,0.68,23.37,0.11
0.453,42.69,0.39,23.2,0.06
0.425,41.3,0.37,22.34,0.15
0.278,40.67,0.21,21.72,0.06
0.477,42.01,0.15,22.72,0.07
0.95,43.7,0.27,24.3,0.1
1.057,44.08,0.21,24.77,0.13
0.816,43.8,0.42,24.22,0.09
0.455,42.35,0.24,23.21,0.07
0.514,42.43,0.43,23.06,0.24
0.423,41.61,0.24,22.6,0.05
0.946,43.16,0.81,24.6,0.19
0.859,44.02,0.3,24.73,0.1
1.031,42.18,1.29,24.47,0.18
0.936,44.15,0.52,24.96,0.16
0.528,42.35,0.24,22.89,0.08
0.645,44.04,0.96,24.55,0.17
0.978,43.65,0.31,24.5,0.1
0.885,44.18,0.47,24.31,0.11
0.815,44.14,0.92,25.19,0.2
0.568,42.56,0.29,23.07,0.06
0.711,43.25,0.25,23.8,0.08
0.3396,41.1,0.26,22.1,0.09
0.3965,41.41,0.24,22.47,0.06
0.812,43.81,0.28,24.95,0.09
0.799,43.17,0.27,24.78,0.08
0.882,42.93,0.32,24.91,0.1
0.833,43.41,0.35,24.26,0.09
0.874,43.39,0.46,25.12,0.14
0.772,43.44,0.26,23.75,0.08
0.543,42.39,0.14,23.03,0.06
0.75,43.17,0.14,23.91,0.07
0.64,42.73,0.23,23.8,0.08
0.43,42.2,0.14,22.87,0.08
0.64,43.19,0.19,23.72,0.09
0.497,42.41,0.16,23.15,0.06
0.44,42,0.13,23.2,0.05
0.355,41.52,0.13,22.67,0.05
0.78,43.49,0.15,24.26,0.09
0.54,42.43,0.12,23.16,0.05
0.86,43.75,0.16,24.48,0.08
1.02,44.2,0.22,24.97,0.1
1.14,44.28,0.28,24.73,0.12
0.854,43.92,0.22,24.53,0.09
1.37,44.79,0.32,25.73,0.18
0.975,44.23,0.2,24.88,0.09
0.97,44.58,0.24,25.02,0.09
0.74,43.42,0.2,23.84,0.12
1.39,44.83,0.59,25.82,0.17
0.46,42.16,0.19,23.59,0.11
1.02,43.98,0.24,24.83,0.2
1.12,44.25,0.24,25.07,0.11
1.23,44.85,0.24,26.02,0.12
1.19,44.12,0.25,25.76,0.13
0.839,43.6,0.21,24.2,0.14
1.01,44.45,0.2,25.03,0.1
0.521,42.43,0.19,23.07,0.08
0.475,42.19,0.22,23.09,0.15
0.95,43.77,0.21,24.66,0.1
1.3,44.95,0.35,25.65,0.14
1.305,44.42,0.29,25.41,0.16
0.526,43.02,0.23,24.04,0.12
0.735,43.11,0.18,24.02,0.08
1.14,44.03,0.77,25.35,0.16
1.551,45.33,0.4,26.64,0.26
1.265,44.63,0.23,25.68,0.12
1.34,44.95,0.25,25.77,0.14
0.84,43.56,0.2,24.35,0.08
0.468,42.49,0.16,23.86,0.05
0.84,43.35,0.33,24.31,0.09
0.96,43.59,0.43,24.54,0.13
0.8218,43.54,0.35,24.34,0.09
0.93,44.64,0.69,24.87,0.17
0.451,41.85,0.14,23.23,0.04
0.61,42.88,0.15,23.57,0.06
0.83,44.69,0.46,24.24,0.1
0.707,43.32,0.25,24.15,0.09
0.415,41.77,0.13,22.53,0.04
0.557,42.65,0.15,23,0.06
0.791,43.33,0.19,24.21,0.08
0.695,43.16,0.18,24.03,0.08
0.633,43.2,0.2,23.74,0.07
0.2486,40.63,0.14,21.13,0.08
0.532,42.65,0.2,23.49,0.06
0.331,40.93,0.12,21.8,0.03
0.346,41.28,0.13,22.45,0.04
0.961,44.09,0.54,24.57,0.15
0.613,42.96,0.15,24.02,0.06
0.3402,41.26,0.12,22.14,0.03
0.983,43.97,0.87,24.93,0.24
0.71,43.03,0.19,24.26,0.08
0.73,43.31,0.17,24.13,0.07
0.47,42.3,0.15,23.47,0.05
0.62,43.1,0.15,23.78,0.06
0.521,42.28,0.17,23.32,0.06
0.369,41.51,0.13,22.34,0.04
0.571,42.46,0.18,23.26,0.07
0.604,42.44,0.14,23.32,0.06
0.9271,44.74,0.62,24.72,0.16
0.285,40.71,0.13,21.21,0.03
0.2912,40.79,0.13,22.05,0.05
0.548,42.68,0.16,24.12,0.08
0.868,43.96,0.7,24.37,0.14
0.496,42.22,0.16,22.96,0.05
0.811,44.06,0.36,24.39,0.09
0.756,43.67,0.2,24.08,0.09
0.817,43.57,0.31,24.27,0.08
0.752,43.14,0.18,23.88,0.08
0.5516,42.41,0.15,23.47,0.05
0.3578,41.39,0.13,22.53,0.04
1.01,44.69,0.91,25.12,0.27
0.741,43.48,0.16,24.1,0.07
0.43,41.84,0.14,22.8,0.05
0.526,42.67,0.15,23.63,0.06
0.592,42.52,0.2,23.4,0.07
0.905,43.69,0.42,24.29,0.12
0.949,43.47,0.47,24.5,0.14
0.4607,41.97,0.26,22.56,0.1
0.3709,41.5,0.13,22.2,0.04
0.8,44.42,0.54,24.52,0.1
0.679,43.42,0.18,24.1,0.07
0.5817,42.84,0.18,23.59,0.07
0.55,42.4,0.16,23.36,0.06
0.81,43.73,0.49,24.27,0.1
0.95,43.78,0.42,24.55,0.13
0.3373,41.18,0.12,21.97,0.03
0.91,44.41,0.39,24.71,0.11
0.263,40.64,0.12,21.68,0.03
0.643,43.01,0.16,23.8,0.07
0.691,43.14,0.17,24.26,0.07
0.357,41.36,0.13,22.42,0.04
0.721,43.13,0.19,23.9,0.08
0.581,42.79,0.15,23.35,0.06
0.6268,42.71,0.15,23.39,0.06
0.818,43.57,0.56,24.65,0.1
0.449,41.9,0.15,22.55,0.05
0.688,43.04,0.18,23.63,0.07
0.87,44.08,0.5,24.46,0.11
0.5043,42.3,0.14,22.98,0.05
0.591,43.31,0.27,23.4,0.08
0.426,41.81,0.2,22.68,0.05
0.329,41.38,0.25,22.5,0.21
0.531,43.06,0.3,23.23,0.06
0.583,42.6,0.46,23.59,0.1
0.519,43.09,0.39,23.64,0.09
0.401,41.62,0.26,22.48,0.07
0.34,41.1,0.22,21.91,0.18
0.436,41.84,0.22,22.5,0.05
0.363,41.4,0.21,21.89,0.07
0.436,41.92,0.21,22.5,0.05
0.309,41.29,0.21,22.36,0.07
0.342,41.33,0.2,22.19,0.06
0.332,41.24,0.22,22.52,0.06
0.469,42.09,0.22,22.55,0.05
0.239,40.47,0.19,21.7,0.05
0.352,41.44,0.22,22.8,0.06
0.612,42.26,0.82,24.05,0.19
0.631,42.57,0.27,23.39,0.07
0.645,42.83,0.23,23.38,0.07
0.429,41.83,0.22,22.65,0.05
0.497,42.09,0.23,22.9,0.07
0.539,42.36,0.24,23.29,0.07
0.561,42.6,0.25,23.09,0.06
0.41,41.35,0.22,22.37,0.05
0.412,41.78,0.3,23.06,0.11
0.599,42.85,0.29,23.75,0.09
